name,country,state,latitude,longitude,population
Touggourt,Algeria,Touggourt,33.11083,6.07,143270
Tébessa,Algeria,Tébessa,35.40417,8.12417,194461
Ténès,Algeria,Chlef,36.51076,1.30809,29220
Zemoura,Algeria,Relizane,35.72251,0.75509,21770
Zeralda,Algeria,Algiers,36.71169,2.84244,17563
Zeribet el Oued,Algeria,Biskra,34.68284,6.51109,23187
Zighout Youcef,Algeria,Constantine,36.53307,6.71237,28764
el hed,Algeria,Béjaïa,36.65,4.77361,31890
’Aïn Abid,Algeria,Constantine,36.23194,6.94333,29486
’Aïn Azel,Algeria,Sétif,35.81846,5.51115,37970
’Aïn Benian,Algeria,Algiers,36.80277,2.92185,31102
’Aïn Deheb,Algeria,Tiaret,34.84218,1.54697,36146
’Aïn Merane,Algeria,Chlef,36.16277,0.97037,34413
’Aïn el Bell,Algeria,Djelfa,34.34381,3.22475,31916
’Aïn el Berd,Algeria,Sidi Bel Abbès,35.36395,-0.51279,16548
’Aïn el Hammam,Algeria,Tizi Ouzou,36.56471,4.30619,28029
’Aïn el Melh,Algeria,M'Sila,34.84146,4.16383,32880
’Aïn el Turk,Algeria,Oran,35.74381,-0.7693,36326
Pago Pago,American Samoa,Eastern District,-14.27806,-170.7025,11500
Andorra la Vella,Andorra,Andorra la Vella,42.50779,1.52109,20430
les Escaldes,Andorra,Escaldes-Engordany,42.50729,1.53414,15853
Alto Hama,Angola,Huambo,-12.23333,15.55,36661
Andulo,Angola,Bíe,-11.48676,16.69663,50000
Bailundo,Angola,Malanje,-9.57499,15.99442,70481
Balombo,Angola,Benguela,-12.35426,14.77232,108965
Barra do Dande,Angola,Bengo,-8.47175,13.37011,75000
Baía Farta,Angola,Benguela,-12.60417,13.19667,107841
Belize,Angola,Cabinda,-4.65,12.76667,24430
Benfica,Angola,Luanda,-8.94432,13.16431,191828
Benguela,Angola,Benguela,-12.57674,13.40268,555124
Bocoio,Angola,Benguela,-12.47017,14.13688,164685
Buco Zau,Angola,Cabinda,-4.76667,12.55,40953
Bula Atumba,Angola,Bengo,-8.67417,14.797,30537
Cabinda,Angola,Cabinda,-5.56198,12.19476,550000
Cacuaco,Angola,Luanda,-8.7798,13.37478,146867
Cacuso,Angola,Malanje,-9.42102,15.74668,39302
Cafunfo,Angola,Luanda Norte,-8.7672,17.99572,90000
Cage Mazumbo,Angola,Bengo,-8.29968,14.34494,16093
Cahama,Angola,Cunene,-16.28556,14.30962,70061
Calulo,Angola,Kwanza Sul,-10.00055,14.89519,44000
Calumbo,Angola,Bengo,-9.14692,13.41936,652270
Caluquembe,Angola,Huíla,-13.86667,14.43333,31000
Camabatela,Angola,Cuanza Norte,-8.18812,15.37495,21767
Camacupa,Angola,Bíe,-12.01667,17.48333,59000
Camama,Angola,Luanda,-8.93611,13.26518,667094
Cambundi,Angola,Malanje,-7.46856,17.03769,17212
Cambundi,Angola,Malanje,-10.89481,17.76402,17212
Cambundi Catembo,Angola,Malanje,-10.07531,17.55058,17212
Camucuio,Angola,Namibe,-14.11382,13.24061,66112
Canacassala,Angola,Bengo,-8.16263,14.11663,20913
Cangandala,Angola,Malanje,-9.78333,16.43333,52220
Capunda,Angola,Kwanza Sul,-11.13333,14.46667,21260
Cassanguidi,Angola,Luanda Norte,-7.48367,21.30339,20000
Catabola,Angola,Bíe,-12.15,17.28333,28831
Catchiungo,Angola,Huambo,-12.56598,16.22589,120677
Catumbela,Angola,Benguela,-12.43002,13.54677,95034
Caxito,Angola,Bengo,-8.57848,13.66425,55000
Cazenga,Angola,Luanda,-8.83796,13.28399,394170
Cazombo,Angola,Moxico,-11.89914,22.90216,34000
Cazombo,Angola,Cuanza Norte,-8.73204,15.37124,34000
Caála,Angola,Huambo,-12.8525,15.56056,130000
Cela,Angola,Kwanza Sul,-11.42173,15.12345,90000
Chindumbo,Angola,Benguela,-11.95,14.46667,32013
Chinguar,Angola,Bíe,-12.55708,16.33805,26811
Chitato,Angola,Luanda Norte,-7.3,20.73333,246880
Chitembo,Angola,Bíe,-13.55,16.63333,25000
Conda,Angola,Kwanza Sul,-11.10862,14.33621,21260
Cuango-Luzamba,Angola,Luanda Norte,-9.14583,18.04453,55000
Cubal,Angola,Benguela,-13.03865,14.2455,90367
Cubal do Lumbo,Angola,Benguela,-12.31261,14.1265,18451
Cuemba,Angola,Bíe,-12.15,18.08333,19995
Cuilo,Angola,Luanda Norte,-8.23619,19.52566,26577
